name,start_date,end_date,operating_hours,location,organizer,contact,source_url,description,region,source
광주 웨딩박람회 (동적),2026-03-28,2026-04-12,10:00~18:00,LG전자베스트샵 동광주점 (광주 북구 동문대로 168번길 6),,,https://weddingmoment.co.kr/jeolla,광주 웨딩박람회 (동적) 관련 웨딩박람회 정보입니다. (출처: weddingmoment.co.kr),광주,웨딩모멘트-전라도-Dynamic
2026 광주 웨딩쇼,2026-04-04,2026-04-05,10:00~18:00,컨벤션타워 (광주 서구 치평동 1282-1),더베스트웨딩,062-714-1020,https://www.gjweddingshow.kr/,"광주 최대 규모 웨딩박람회 주관사. 연간 1,300쌍 이상 방문, 7년 연속 호남권 1위.",광주,더베스트웨딩
광주 롯데백화점 웨딩박람회,2026-04-04,2026-04-05,10:00~18:00,롯데백화점 광주점,웨딩고,,https://weddingo.kr/%EA%B4%91%EC%A3%BC,광주 롯데백화점 웨딩박람회 관련 웨딩박람회 정보입니다. (출처: weddingo.kr),광주,웨딩고-광주
광주 메리포엠 웨딩페어,2026-04-04,2026-04-05,10:00~18:00,메리포엠웨딩홀(광주 광산구 무진대로 282),웨딩고,,https://weddingo.kr/%EA%B4%91%EC%A3%BC,광주 메리포엠 웨딩페어 관련 웨딩박람회 정보입니다. (출처: weddingo.kr),광주,웨딩고-광주
광주 스타일링 웨딩페어,2026-04-04,2026-04-05,10:00~18:00,더베스트웨딩 사옥 (광주 동구 서석로 13-1 3층),웨딩고,,https://weddingo.kr/%EA%B4%91%EC%A3%BC,광주 스타일링 웨딩페어 관련 웨딩박람회 정보입니다. (출처: weddingo.kr),광주,웨딩고-광주
광주 컨벤션 웨딩박람회,2026-04-04,2026-04-05,10:00~18:00,컨벤션타워 (광주 서구 치평동 1282-1),웨딩고,,https://weddingo.kr/%EA%B4%91%EC%A3%BC,광주 컨벤션 웨딩박람회 관련 웨딩박람회 정보입니다. (출처: weddingo.kr),광주,웨딩고-광주
광주 365 웨딩박람회,2026-04-11,2026-04-12,10:00~18:00,광주 LG베스트샵 서광주본점,웨딩고,,https://weddingo.kr/%EA%B4%91%EC%A3%BC,광주 365 웨딩박람회 관련 웨딩박람회 정보입니다. (출처: weddingo.kr),광주,웨딩고-광주
광주웨딩페어,2026-04-11,2026-04-12,10:00~18:00,광주여대 유니버시아드 체육관 (광주 광산구 광주여대길 6),,,https://weddingmoment.co.kr/jeolla,광주웨딩페어 관련 웨딩박람회 정보입니다. (출처: weddingmoment.co.kr),광주,웨딩모멘트-전라도
